TotalSteps,ActivityDate,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalMinutesAsleep,ReconstructionError,Anomaly
13162,4/12/2016,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,25,13,328,728,1985,327.0,0.06218198305166551,False
13162,4/12/2016,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,25,13,328,728,1985,384.0,0.07138960949635863,False
13162,4/12/2016,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,25,13,328,728,1985,412.0,0.07885912500106657,False
13162,4/12/2016,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,25,13,328,728,1985,340.0,0.06357381434607069,False
13162,4/12/2016,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,25,13,328,728,1985,700.0,0.2725259454793539,False
13162,4/12/2016,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,25,13,328,728,1985,304.0,0.060744505390119226,False
13162,4/12/2016,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,25,13,328,728,1985,360.0,0.06653220315641296,False
13162,4/12/2016,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,25,13,328,728,1985,325.0,0.06200494418113192,False
13162,4/12/2016,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,25,13,328,728,1985,361.0,0.06670611269159585,False
13162,4/12/2016,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,25,13,328,728,1985,430.0,0.08468599719713679,False
13162,4/12/2016,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,25,13,328,728,1985,277.0,0.06072836017925432,False
13162,4/12/2016,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,25,13,328,728,1985,245.0,0.06304660332946295,False
13162,4/12/2016,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,25,13,328,728,1985,366.0,0.06761284441398058,False
13162,4/12/2016,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,25,13,328,728,1985,341.0,0.0636982143878159,False
13162,4/12/2016,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,25,13,328,728,1985,404.0,0.07652688299531095,False
13162,4/12/2016,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,25,13,328,728,1985,369.0,0.06818660178733031,False
13162,4/12/2016,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,25,13,328,728,1985,273.0,0.06087950931015313,False
13162,4/12/2016,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,25,13,328,728,1985,247.0,0.06282741868127387,False
13162,4/12/2016,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,25,13,328,728,1985,334.0,0.06287942047056504,False
13162,4/12/2016,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,25,13,328,728,1985,331.0,0.06256564530616776,False
13162,4/12/2016,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,25,13,328,728,1985,594.0,0.17472735825688848,False
13162,4/12/2016,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,25,13,328,728,1985,338.0,0.06333243766296452,False
